EnsemblID GeneName
ENSMMUG00000051140 U6
ENSMMUG00000053368 NA
ENSMMUG00000036090 U6
ENSMMUG00000050136 Metazoa_SRP
ENSMMUG00000060516 NA
ENSMMUG00000021098 HNRNPU
ENSMMUG00000031175 COX20
ENSMMUG00000048085 NA
ENSMMUG00000062648 NA
ENSMMUG00000054073 NA
ENSMMUG00000022310 DESI2
ENSMMUG00000000021 CATSPERE
ENSMMUG00000062093 NA
ENSMMUG00000000016 ADSS2
ENSMMUG00000000015 C1H1orf100
ENSMMUG00000058747 NA
ENSMMUG00000059503 Metazoa_SRP
ENSMMUG00000053405 Metazoa_SRP
ENSMMUG00000058339 NA
ENSMMUG00000048772 NA
ENSMMUG00000039543 Metazoa_SRP
ENSMMUG00000053438 NA
ENSMMUG00000047935 NA
ENSMMUG00000015664 ZBTB18
ENSMMUG00000063991 NA
ENSMMUG00000058567 NA
ENSMMUG00000055600 NA
ENSMMUG00000058282 NA
ENSMMUG00000049847 NA
ENSMMUG00000019995 AKT3
ENSMMUG00000064143 Metazoa_SRP
ENSMMUG00000019994 SDCCAG8
ENSMMUG00000051554 Metazoa_SRP
ENSMMUG00000042187 MIR4677
ENSMMUG00000019914 CEP170
ENSMMUG00000059561 NA
ENSMMUG00000062759 NA
ENSMMUG00000061742 Metazoa_SRP
ENSMMUG00000053960 Metazoa_SRP
ENSMMUG00000004265 PLD5
ENSMMUG00000056808 NA
ENSMMUG00000035346 U6
ENSMMUG00000053723 NA
ENSMMUG00000060345 BECN2
ENSMMUG00000008761 EXO1
ENSMMUG00000008763 WDR64
ENSMMUG00000005669 OPN3
ENSMMUG00000005668 KMO
ENSMMUG00000005667 FH
ENSMMUG00000054974 NA
ENSMMUG00000057010 NA
ENSMMUG00000010729 RGS7
ENSMMUG00000050628 Metazoa_SRP
ENSMMUG00000054679 Metazoa_SRP
ENSMMUG00000064824 GREM2
ENSMMUG00000059650 FMN2
ENSMMUG00000026240 Y_RNA
ENSMMUG00000061518 Metazoa_SRP
ENSMMUG00000021442 CHRM3
ENSMMUG00000060243 NA
ENSMMUG00000060259 Metazoa_SRP
ENSMMUG00000050045 NA
ENSMMUG00000059198 NA
ENSMMUG00000054726 NA
ENSMMUG00000015083 NA
ENSMMUG00000054712 NA
ENSMMUG00000049264 NA
ENSMMUG00000059542 NA
ENSMMUG00000061845 NA
ENSMMUG00000002105 ZP4
ENSMMUG00000001060 RYR2
ENSMMUG00000053692 NA
ENSMMUG00000053077 Metazoa_SRP
ENSMMUG00000010073 MTR
ENSMMUG00000020471 ACTN2
ENSMMUG00000043556 NA
ENSMMUG00000046645 NA
ENSMMUG00000015135 HEATR1
ENSMMUG00000015132 LGALS8
ENSMMUG00000021238 EDARADD
ENSMMUG00000059718 NA
ENSMMUG00000044139 ERO1B
ENSMMUG00000034442 U2
ENSMMUG00000056299 NA
ENSMMUG00000014263 GPR137B
ENSMMUG00000012716 NID1
ENSMMUG00000055488 Metazoa_SRP
ENSMMUG00000064367 U6
ENSMMUG00000054102 Metazoa_SRP
ENSMMUG00000057171 Metazoa_SRP
ENSMMUG00000035602 U5
ENSMMUG00000012729 LYST
ENSMMUG00000053807 GNG4
ENSMMUG00000051579 Metazoa_SRP
ENSMMUG00000008427 B3GALNT2
ENSMMUG00000054748 Metazoa_SRP
ENSMMUG00000008426 TBCE
ENSMMUG00000053318 NA
ENSMMUG00000007145 GGPS1
ENSMMUG00000007141 ARID4B
ENSMMUG00000055692 Metazoa_SRP
ENSMMUG00000039424 RBM34
ENSMMUG00000058824 TOMM20
ENSMMUG00000025132 SNORA14B
ENSMMUG00000058535 Metazoa_SRP
ENSMMUG00000055258 Metazoa_SRP
ENSMMUG00000059310 Y_RNA
ENSMMUG00000055781 NA
ENSMMUG00000045131 Metazoa_SRP
ENSMMUG00000049832 IRF2BP2
ENSMMUG00000026044 U8
ENSMMUG00000021703 TARBP1
ENSMMUG00000021702 COA6
ENSMMUG00000052207 NA
ENSMMUG00000006226 SLC35F3
ENSMMUG00000063372 Metazoa_SRP
ENSMMUG00000062678 NA
ENSMMUG00000062233 NA
ENSMMUG00000052225 NA
ENSMMUG00000022429 KCNK1
ENSMMUG00000064750 NA
ENSMMUG00000046785 NA
ENSMMUG00000035050 U4
ENSMMUG00000009226 MAP3K21
ENSMMUG00000012615 PCNX2
ENSMMUG00000058848 Metazoa_SRP
ENSMMUG00000063981 NTPCR
ENSMMUG00000040055 NA
ENSMMUG00000061796 NA
ENSMMUG00000062965 U1
ENSMMUG00000062889 NA
ENSMMUG00000053832 NA
ENSMMUG00000035247 U6
ENSMMUG00000012068 SIPA1L2
ENSMMUG00000050163 Metazoa_SRP
ENSMMUG00000052961 NA
ENSMMUG00000050866 NA
ENSMMUG00000064226 NA
ENSMMUG00000044246 Metazoa_SRP
ENSMMUG00000013119 DISC1
ENSMMUG00000065000 Metazoa_SRP
ENSMMUG00000063252 U5
ENSMMUG00000035717 U6
ENSMMUG00000052451 Metazoa_SRP
ENSMMUG00000016204 TSNAX
ENSMMUG00000053396 EGLN1
ENSMMUG00000005244 SPRTN
ENSMMUG00000005243 EXOC8
ENSMMUG00000060999 NA
ENSMMUG00000054436 Metazoa_SRP
ENSMMUG00000050564 NA
ENSMMUG00000005801 GNPAT
ENSMMUG00000005803 C1H1orf131
ENSMMUG00000017449 TRIM67
ENSMMUG00000060727 NA
ENSMMUG00000051998 Metazoa_SRP
ENSMMUG00000008191 FAM89A
ENSMMUG00000005892 ARV1
ENSMMUG00000005888 TTC13
ENSMMUG00000062839 NA
ENSMMUG00000038609 Metazoa_SRP
ENSMMUG00000005886 C1H1orf198
ENSMMUG00000005882 CAPN9
ENSMMUG00000005881 AGT
ENSMMUG00000005877 COG2
ENSMMUG00000002287 PGBD5
ENSMMUG00000002285 GALNT2
ENSMMUG00000037337 U7
ENSMMUG00000048329 NA
ENSMMUG00000009509 URB2
ENSMMUG00000009508 TAF5L
ENSMMUG00000022094 ABCB10
ENSMMUG00000052224 Metazoa_SRP
ENSMMUG00000027472 U4
ENSMMUG00000022091 NUP133
ENSMMUG00000054977 NA
ENSMMUG00000022086 ACTA1
ENSMMUG00000064219 Metazoa_SRP
ENSMMUG00000055996 NA
ENSMMUG00000017722 CCSAP
ENSMMUG00000017720 RAB4A
ENSMMUG00000050224 NA
ENSMMUG00000056807 NA
ENSMMUG00000061914 NA
ENSMMUG00000031107 NA
ENSMMUG00000061633 Metazoa_SRP
ENSMMUG00000057995 RHOU
ENSMMUG00000050169 5S_rRNA
ENSMMUG00000049798 5S_rRNA
ENSMMUG00000055360 5S_rRNA
ENSMMUG00000051472 5S_rRNA
ENSMMUG00000049634 5S_rRNA
ENSMMUG00000026466 5S_rRNA
ENSMMUG00000057881 5S_rRNA
ENSMMUG00000061675 5S_rRNA
ENSMMUG00000053105 5S_rRNA
ENSMMUG00000051199 5S_rRNA
ENSMMUG00000058983 5S_rRNA
ENSMMUG00000050099 5S_rRNA
ENSMMUG00000053289 5S_rRNA
ENSMMUG00000050167 5S_rRNA
ENSMMUG00000054394 5S_rRNA
ENSMMUG00000002585 CCDC190
ENSMMUG00000062933 NA
ENSMMUG00000005185 RGS4
ENSMMUG00000005186 RGS5
ENSMMUG00000058513 NA
ENSMMUG00000001152 NUF2
ENSMMUG00000059514 NA
ENSMMUG00000061702 NA
ENSMMUG00000063455 NA
ENSMMUG00000056247 NA
ENSMMUG00000026478 U5
ENSMMUG00000031260 NA
ENSMMUG00000019108 PBX1
ENSMMUG00000062764 mml-mir-7177
ENSMMUG00000039738 U6
ENSMMUG00000041470 Metazoa_SRP
ENSMMUG00000054439 Y_RNA
ENSMMUG00000035555 U6
ENSMMUG00000006300 LMX1A
ENSMMUG00000002892 RXRG
ENSMMUG00000049685 NA
ENSMMUG00000015518 LRRC52
ENSMMUG00000015948 MGST3
ENSMMUG00000015946 NA
ENSMMUG00000028053 Y_RNA
ENSMMUG00000062066 NA
ENSMMUG00000005585 TMCO1
ENSMMUG00000053859 UCK2
ENSMMUG00000057426 FAM78B
ENSMMUG00000055782 Metazoa_SRP
ENSMMUG00000053074 NA
ENSMMUG00000064365 NA
ENSMMUG00000017789 POGK
ENSMMUG00000017790 TADA1
ENSMMUG00000023462 ILDR2
ENSMMUG00000023463 MAEL
ENSMMUG00000064212 5S_rRNA
ENSMMUG00000050055 NA
ENSMMUG00000065239 GPA33
ENSMMUG00000051788 DUSP27
ENSMMUG00000064434 NA
ENSMMUG00000008155 POU2F1
ENSMMUG00000008158 CD247
ENSMMUG00000063120 CREG1
ENSMMUG00000062713 NA
ENSMMUG00000023372 RCSD1
ENSMMUG00000009184 MPZL1
ENSMMUG00000057453 NA
ENSMMUG00000010380 ADCY10
ENSMMUG00000055789 Metazoa_SRP
ENSMMUG00000010387 MPC2
ENSMMUG00000010389 DCAF6
ENSMMUG00000033715 mml-mir-1255b
ENSMMUG00000010395 GPR161
ENSMMUG00000021166 TIPRL
ENSMMUG00000005283 SFT2D2
ENSMMUG00000057319 U6
ENSMMUG00000060729 TBX19
ENSMMUG00000013779 NA
ENSMMUG00000059524 mml-mir-557
ENSMMUG00000058464 Metazoa_SRP
ENSMMUG00000060218 XCL1
ENSMMUG00000056707 NA
ENSMMUG00000002932 DPT
ENSMMUG00000059777 NA
ENSMMUG00000021078 ATP1B1
ENSMMUG00000021079 NME7
ENSMMUG00000021080 BLZF1
ENSMMUG00000000065 CCDC181
ENSMMUG00000013039 SLC19A2
ENSMMUG00000042510 F5
ENSMMUG00000013044 SELP
ENSMMUG00000054881 NA
ENSMMUG00000016579 SELL
ENSMMUG00000016580 SELE
ENSMMUG00000016581 METTL18
ENSMMUG00000016582 C1H1orf112
ENSMMUG00000016583 SCYL3
ENSMMUG00000046410 Metazoa_SRP
ENSMMUG00000010081 KIFAP3
ENSMMUG00000044973 Metazoa_SRP
ENSMMUG00000059773 METTL11B
ENSMMUG00000039365 NA
ENSMMUG00000063298 NA
ENSMMUG00000058977 NA
ENSMMUG00000014674 GORAB
ENSMMUG00000063414 NA
ENSMMUG00000050865 PRRX1
ENSMMUG00000013380 MROH9
ENSMMUG00000007952 FMO3
ENSMMUG00000056051 NA
ENSMMUG00000019727 FMO2
ENSMMUG00000025902 Y_RNA
ENSMMUG00000005069 FMO1
ENSMMUG00000014230 FMO4
ENSMMUG00000059249 Metazoa_SRP
ENSMMUG00000051982 U6
ENSMMUG00000052197 NA
ENSMMUG00000040291 Metazoa_SRP
ENSMMUG00000013639 PRRC2C
ENSMMUG00000035725 U6
ENSMMUG00000056198 MYOCOS
ENSMMUG00000013649 MYOC
ENSMMUG00000023203 VAMP4
ENSMMUG00000057650 NA
ENSMMUG00000035909 NA
ENSMMUG00000007266 EEF1AKNMT
ENSMMUG00000007273 DNM3
ENSMMUG00000051559 NA
ENSMMUG00000026913 mml-mir-214
ENSMMUG00000027103 mml-mir-199a-1
ENSMMUG00000053450 U6
ENSMMUG00000007278 C1H1orf105
ENSMMUG00000007279 PIGC
ENSMMUG00000007280 SUCO
ENSMMUG00000065134 FASLG
ENSMMUG00000059499 TNFSF18
ENSMMUG00000058865 NA
ENSMMUG00000057372 NA
ENSMMUG00000061368 TNFSF4
ENSMMUG00000063331 NA
ENSMMUG00000052789 NA
ENSMMUG00000054261 NA
ENSMMUG00000052550 NA
ENSMMUG00000008776 PRDX6
ENSMMUG00000008779 SLC9C2
ENSMMUG00000010683 NA
ENSMMUG00000052807 TEX50
ENSMMUG00000052119 NA
ENSMMUG00000061472 NA
ENSMMUG00000016792 KLHL20
ENSMMUG00000008572 CENPL
ENSMMUG00000049771 Metazoa_SRP
ENSMMUG00000036651 Y_RNA
ENSMMUG00000022798 DARS2
ENSMMUG00000056971 Metazoa_SRP
ENSMMUG00000060229 NA
ENSMMUG00000024846 SNORD81
ENSMMUG00000059109 NA
ENSMMUG00000025832 NA
ENSMMUG00000024242 SNORD79
ENSMMUG00000051433 NA
ENSMMUG00000057075 NA
ENSMMUG00000057862 NA
ENSMMUG00000050963 SNORD24
ENSMMUG00000052808 NA
ENSMMUG00000026229 NA
ENSMMUG00000022801 ZBTB37
ENSMMUG00000000629 SERPINC1
ENSMMUG00000000630 RC3H1
ENSMMUG00000023884 5S_rRNA
ENSMMUG00000064770 NA
ENSMMUG00000037265 U7
ENSMMUG00000049839 NA
ENSMMUG00000001565 RABGAP1L
ENSMMUG00000060122 NA
ENSMMUG00000053626 NA
ENSMMUG00000035170 U6
ENSMMUG00000001571 CACYBP
ENSMMUG00000024417 U6
ENSMMUG00000051176 MRPS14
ENSMMUG00000057125 Y_RNA
ENSMMUG00000000545 TNN
ENSMMUG00000000546 KIAA0040
ENSMMUG00000055514 Metazoa_SRP
ENSMMUG00000015723 TNR
ENSMMUG00000050766 NA
ENSMMUG00000064906 Metazoa_SRP
ENSMMUG00000054198 NA
ENSMMUG00000059669 COP1
ENSMMUG00000036503 SCARNA3
ENSMMUG00000063647 NA
ENSMMUG00000023214 PAPPA2
ENSMMUG00000023216 ASTN1
ENSMMUG00000026930 mml-mir-488
ENSMMUG00000022935 BRINP2
ENSMMUG00000050971 NA
ENSMMUG00000020320 SEC16B
ENSMMUG00000051221 NA
ENSMMUG00000060079 Metazoa_SRP
ENSMMUG00000052402 NA
ENSMMUG00000021073 RASAL2
ENSMMUG00000060223 NA
ENSMMUG00000053325 NA
ENSMMUG00000059117 Metazoa_SRP
ENSMMUG00000056058 CLEC20A
ENSMMUG00000054486 TEX35
ENSMMUG00000054839 NA
ENSMMUG00000017551 RALGPS2
ENSMMUG00000017553 ANGPTL1
ENSMMUG00000061120 Metazoa_SRP
ENSMMUG00000006260 FAM20B
ENSMMUG00000006261 TOR3A
ENSMMUG00000006262 ABL2
ENSMMUG00000057455 Metazoa_SRP
ENSMMUG00000049630 NA
ENSMMUG00000060053 NA
ENSMMUG00000057513 NA
ENSMMUG00000003768 SOAT1
ENSMMUG00000055309 NA
ENSMMUG00000003769 AXDND1
ENSMMUG00000003770 NPHS2
ENSMMUG00000036230 U5
ENSMMUG00000016033 TDRD5
ENSMMUG00000055256 FAM163A
ENSMMUG00000031279 TOR1AIP2
ENSMMUG00000053617 TOR1AIP2
ENSMMUG00000014873 TOR1AIP1
ENSMMUG00000046557 Metazoa_SRP
ENSMMUG00000062633 Metazoa_SRP
ENSMMUG00000002135 CEP350
ENSMMUG00000059364 QSOX1
ENSMMUG00000055544 LHX4
ENSMMUG00000012051 ACBD6
ENSMMUG00000063321 U6
ENSMMUG00000012848 XPR1
ENSMMUG00000016234 NA
ENSMMUG00000054762 NA
ENSMMUG00000020019 KIAA1614
ENSMMUG00000020021 STX6
ENSMMUG00000020023 MR1
ENSMMUG00000062295 Metazoa_SRP
ENSMMUG00000065293 NA
ENSMMUG00000031286 IER5
ENSMMUG00000058944 NA
ENSMMUG00000057519 NA
ENSMMUG00000014498 CACNA1E
ENSMMUG00000059328 ZNF648
ENSMMUG00000054568 NA
ENSMMUG00000061785 NA
ENSMMUG00000062560 U6
ENSMMUG00000052988 Metazoa_SRP
ENSMMUG00000022884 GLUL
ENSMMUG00000064110 NA
ENSMMUG00000022886 TEDDM1
ENSMMUG00000049444 NA
ENSMMUG00000031291 RGSL1
ENSMMUG00000005634 RNASEL
ENSMMUG00000055481 RGS16
ENSMMUG00000008990 RGS8
ENSMMUG00000054857 NA
ENSMMUG00000008992 NPL
ENSMMUG00000005635 DHX9
ENSMMUG00000015081 SHCBP1L
ENSMMUG00000052779 Metazoa_SRP
ENSMMUG00000060445 NA
ENSMMUG00000015084 LAMC1
ENSMMUG00000001479 LAMC2
ENSMMUG00000001481 NMNAT2
ENSMMUG00000057015 Metazoa_SRP
ENSMMUG00000018458 SMG7
ENSMMUG00000063676 Metazoa_SRP
ENSMMUG00000018460 NCF2
ENSMMUG00000063534 Metazoa_SRP
ENSMMUG00000061128 NA
ENSMMUG00000016399 RGL1
ENSMMUG00000060284 APOBEC4
ENSMMUG00000016405 COLGALT2
ENSMMUG00000064206 TSEN15
ENSMMUG00000027803 Y_RNA
ENSMMUG00000027766 Y_RNA
ENSMMUG00000058107 NA
ENSMMUG00000041607 Metazoa_SRP
ENSMMUG00000062353 C1H1orf21
ENSMMUG00000058713 NA
ENSMMUG00000052587 NA
ENSMMUG00000005410 EDEM3
ENSMMUG00000019515 NIBAN1
ENSMMUG00000045843 U7
ENSMMUG00000063736 NA
ENSMMUG00000013878 RNF2
ENSMMUG00000051399 Metazoa_SRP
ENSMMUG00000013879 TRMT1L
ENSMMUG00000013882 SWT1
ENSMMUG00000056665 Y_RNA
ENSMMUG00000024613 Y_RNA
ENSMMUG00000013884 IVNS1ABP
ENSMMUG00000037060 U7
ENSMMUG00000025514 Y_RNA
ENSMMUG00000053797 NA
ENSMMUG00000053353 NA
ENSMMUG00000010474 HMCN1
ENSMMUG00000054157 NA
ENSMMUG00000009076 PRG4
ENSMMUG00000025232 U6
ENSMMUG00000009081 TPR
ENSMMUG00000009085 ODR4
ENSMMUG00000058596 NA
ENSMMUG00000064825 PDC
ENSMMUG00000016857 PTGS2
ENSMMUG00000021423 PLA2G4A
ENSMMUG00000061865 NA
ENSMMUG00000055981 NA
ENSMMUG00000059986 NA
ENSMMUG00000062668 U6
ENSMMUG00000058292 NA
ENSMMUG00000010110 BRINP3
ENSMMUG00000059498 NA
ENSMMUG00000046333 NA
ENSMMUG00000055616 NA
ENSMMUG00000063553 NA
ENSMMUG00000058814 NA
ENSMMUG00000013995 RGS18
ENSMMUG00000052426 RGS21
ENSMMUG00000003486 RGS1
ENSMMUG00000059086 RGS13
ENSMMUG00000062021 NA
ENSMMUG00000049590 RGS2
ENSMMUG00000052479 NA
ENSMMUG00000060705 NA
ENSMMUG00000022641 UCHL5
ENSMMUG00000036486 SCARNA18B
ENSMMUG00000022643 RO60
ENSMMUG00000065201 NA
ENSMMUG00000022645 GLRX2
ENSMMUG00000022647 CDC73
ENSMMUG00000022648 B3GALT2
ENSMMUG00000049507 Metazoa_SRP
ENSMMUG00000052652 NA
ENSMMUG00000058087 U3
ENSMMUG00000062210 U6
ENSMMUG00000061454 NA
ENSMMUG00000056654 NA
ENSMMUG00000062942 NA
ENSMMUG00000059151 NA
ENSMMUG00000021082 KCNT2
ENSMMUG00000045497 CFH
ENSMMUG00000000243 CFHR5
ENSMMUG00000000244 F13B
ENSMMUG00000000245 ASPM
ENSMMUG00000058395 ZBTB41
ENSMMUG00000055405 NA
ENSMMUG00000058965 U6
ENSMMUG00000012322 CRB1
ENSMMUG00000013962 DENND1B
ENSMMUG00000061874 Y_RNA
ENSMMUG00000060620 C1orf53
ENSMMUG00000012259 LHX9
ENSMMUG00000057910 NA
ENSMMUG00000021649 NEK7
ENSMMUG00000011992 ATP6V1G3
ENSMMUG00000000009 PTPRC
ENSMMUG00000026884 mml-mir-181b-1
ENSMMUG00000026915 mml-mir-181a-1
ENSMMUG00000055114 NA
ENSMMUG00000057477 NA
ENSMMUG00000057677 NA
ENSMMUG00000055580 Metazoa_SRP
ENSMMUG00000058968 Metazoa_SRP
ENSMMUG00000055849 U6
ENSMMUG00000036028 NA
ENSMMUG00000024787 U6
ENSMMUG00000039854 U6
ENSMMUG00000016188 NR5A2
ENSMMUG00000035331 U6
ENSMMUG00000063532 NA
ENSMMUG00000053424 NA
ENSMMUG00000062588 Metazoa_SRP
ENSMMUG00000007334 ZNF281
ENSMMUG00000050830 NA
ENSMMUG00000004266 KIF14
ENSMMUG00000051563 NA
ENSMMUG00000004268 DDX59
ENSMMUG00000012218 CAMSAP2
ENSMMUG00000052463 Metazoa_SRP
ENSMMUG00000012219 GPR25
ENSMMUG00000063678 INAVA
ENSMMUG00000052462 NA
ENSMMUG00000026793 U6
ENSMMUG00000005921 KIF21B
ENSMMUG00000057582 Metazoa_SRP
ENSMMUG00000017414 CACNA1S
ENSMMUG00000017419 ASCL5
ENSMMUG00000013500 TMEM9
ENSMMUG00000057870 Metazoa_SRP
ENSMMUG00000013504 NA
ENSMMUG00000013506 PKP1
ENSMMUG00000056199 TNNT2
ENSMMUG00000013507 LAD1
ENSMMUG00000046222 TNNI1
ENSMMUG00000061689 PHLDA3
ENSMMUG00000047008 NA
ENSMMUG00000020772 CSRP1
ENSMMUG00000001908 NAV1
ENSMMUG00000057443 U6
ENSMMUG00000001916 IPO9
ENSMMUG00000001921 SHISA4
ENSMMUG00000001923 LMOD1
ENSMMUG00000001924 TIMM17A
ENSMMUG00000053279 SNORA70
ENSMMUG00000001926 RNPEP
ENSMMUG00000001929 ELF3
ENSMMUG00000055286 Metazoa_SRP
ENSMMUG00000064915 Metazoa_SRP
ENSMMUG00000056714 Metazoa_SRP
ENSMMUG00000050920 Metazoa_SRP
ENSMMUG00000057708 NA
ENSMMUG00000013788 GPR37L1
ENSMMUG00000049760 Metazoa_SRP
ENSMMUG00000031357 ARL8A
ENSMMUG00000013789 PTPN7
ENSMMUG00000058821 NA
ENSMMUG00000013790 LGR6
ENSMMUG00000056034 NA
ENSMMUG00000059291 NA
ENSMMUG00000013795 UBE2T
ENSMMUG00000003998 PPP1R12B
ENSMMUG00000057065 U6
ENSMMUG00000036194 SNORA70
ENSMMUG00000064461 NA
ENSMMUG00000059021 NA
ENSMMUG00000004001 SYT2
ENSMMUG00000015233 KDM5B
ENSMMUG00000060692 Metazoa_SRP
ENSMMUG00000054699 NA
ENSMMUG00000058670 NA
ENSMMUG00000053567 RABIF
ENSMMUG00000017849 KLHL12
ENSMMUG00000057417 Metazoa_SRP
ENSMMUG00000025885 Y_RNA
ENSMMUG00000007046 ADIPOR1
ENSMMUG00000054475 CYB5R1
ENSMMUG00000052919 NA
ENSMMUG00000051850 MGAT4F
ENSMMUG00000059802 NA
ENSMMUG00000000801 TMEM183A
ENSMMUG00000000063 PPFIA4
ENSMMUG00000043626 MYOG
ENSMMUG00000008714 ADORA1
ENSMMUG00000064766 MYBPH
ENSMMUG00000008711 CHI3L1
ENSMMUG00000008709 CHIT1
ENSMMUG00000055220 NA
ENSMMUG00000055024 NA
ENSMMUG00000053426 BTG2
ENSMMUG00000028337 U6
ENSMMUG00000021642 FMOD
ENSMMUG00000050913 NA
ENSMMUG00000052790 NA
ENSMMUG00000021641 PRELP
ENSMMUG00000064508 Metazoa_SRP
ENSMMUG00000021640 OPTC
ENSMMUG00000055124 NA
ENSMMUG00000060784 NA
ENSMMUG00000057158 Metazoa_SRP
ENSMMUG00000021116 ATP2B4
ENSMMUG00000059035 Metazoa_SRP
ENSMMUG00000033542 SNORA77B
ENSMMUG00000054133 LAX1
ENSMMUG00000010539 ZC3H11A
ENSMMUG00000031372 SNRPE
ENSMMUG00000055783 NA
ENSMMUG00000008460 SOX13
ENSMMUG00000008462 ETNK2
ENSMMUG00000008464 REN
ENSMMUG00000003647 KISS1
ENSMMUG00000064841 GOLT1A
ENSMMUG00000017114 PLEKHA6
ENSMMUG00000065076 PPP1R15B
ENSMMUG00000016563 PIK3C2B
ENSMMUG00000011236 MDM4
ENSMMUG00000060248 NA
ENSMMUG00000063658 LRRN2
ENSMMUG00000031378 NA
ENSMMUG00000036962 NA
ENSMMUG00000059912 NA
ENSMMUG00000017508 NFASC
ENSMMUG00000062199 Metazoa_SRP
ENSMMUG00000018797 CNTN2
ENSMMUG00000018802 TMEM81
ENSMMUG00000018803 RBBP5
ENSMMUG00000049753 Metazoa_SRP
ENSMMUG00000010478 DSTYK
ENSMMUG00000050259 NA
ENSMMUG00000010480 TMCC2
ENSMMUG00000059120 Metazoa_SRP
ENSMMUG00000049995 Metazoa_SRP
ENSMMUG00000063592 Metazoa_SRP
ENSMMUG00000049565 NUAK2
ENSMMUG00000018585 KLHDC8A
ENSMMUG00000004100 NA
ENSMMUG00000026875 MIR135B
ENSMMUG00000004109 CDK18
ENSMMUG00000059396 Metazoa_SRP
ENSMMUG00000004113 MFSD4A
ENSMMUG00000054201 U6
ENSMMUG00000001024 ELK4
ENSMMUG00000004116 SLC45A3
ENSMMUG00000051039 Metazoa_SRP
ENSMMUG00000064105 NA
ENSMMUG00000064439 NA
ENSMMUG00000055835 NUCKS1
ENSMMUG00000026143 SNORA72
ENSMMUG00000021426 SLC41A1
ENSMMUG00000003673 PM20D1
ENSMMUG00000014694 SLC26A9
ENSMMUG00000056006 NA
ENSMMUG00000061872 RAB7B
ENSMMUG00000021591 CTSE
ENSMMUG00000055438 NA
ENSMMUG00000032777 NA
ENSMMUG00000002254 RHEX
ENSMMUG00000054385 AVPR1B
ENSMMUG00000004318 NA
ENSMMUG00000022614 SRGAP2
ENSMMUG00000059567 Metazoa_SRP
ENSMMUG00000055389 NA
ENSMMUG00000002526 IKBKE
ENSMMUG00000045607 RASSF5
ENSMMUG00000002528 EIF2D
